Dataset,Model,AUC Mean,AUC Std,F1 Mean,F1 Std,Accuracy Mean,Precision Mean,Recall Mean
Transcriptomics,SVM,0.9531522354272779,0.01768947293020446,0.9257030816329135,0.031462567073804765,0.9281777777777778,0.9273079491331533,0.9281777777777778
T+P,SVM,0.9528715336728919,0.015179802475437496,0.9196803838240205,0.03308503206459888,0.921752380952381,0.9200774243973328,0.921752380952381
All_Modalities,SVM,0.950161856253537,0.021857159593971602,0.9170271232408271,0.026495117673635073,0.9201650793650794,0.9195079324627701,0.9201650793650794
Transcriptomics,MLP,0.9480384833050369,0.02879995126790497,0.9171416304182467,0.03156858627424116,0.9201904761904762,0.9199717748027665,0.9201904761904762
G+T,SVM,0.9474770797962648,0.027235605029590677,0.900118665938464,0.030941559329623756,0.9057904761904763,0.9062072600846525,0.9057904761904763
T+P,RandomForest,0.9443508771929825,0.024204016414386135,0.9336423027410581,0.02823085286275593,0.934552380952381,0.9336591249032494,0.934552380952381
All_Modalities,RandomForest,0.9437702320316921,0.027864480706687688,0.922789279657471,0.02893554275412817,0.9249650793650794,0.9237353561101793,0.9249650793650794
Proteomics,RandomForest,0.9422026032823995,0.02295839737678852,0.8940315467759771,0.043181329513277196,0.9009396825396825,0.9005420187667322,0.9009396825396825
Transcriptomics,XGBoost,0.9419015280135824,0.030021812279875555,0.9276224364069531,0.030346978286861694,0.9281650793650794,0.9280254995876837,0.9281650793650794
T+P,XGBoost,0.9414080362195811,0.02676175379044751,0.9296825599669523,0.03531729009922841,0.929752380952381,0.9299069893838295,0.929752380952381
G+P,SVM,0.9402648556876063,0.02930429759704801,0.8898044992643431,0.014448314050513654,0.8961523809523809,0.897266142274462,0.8961523809523809
G+P,RandomForest,0.9391680814940578,0.027537905160671325,0.8981864788516603,0.03937517549386809,0.9041396825396826,0.9034190630069479,0.9041396825396826
G+P,XGBoost,0.9391262026032825,0.030629700336917913,0.923974337958877,0.024080040262153508,0.9249269841269842,0.9236700134538944,0.9249269841269842
Transcriptomics,LogisticRegression,0.9390741369552913,0.024459436315804012,0.9124470820695276,0.03161998559563415,0.9138158730158731,0.9124050650899361,0.9138158730158731
Proteomics,SVM,0.9383203169213357,0.021623831984455506,0.8985160456796433,0.025907944288979728,0.902552380952381,0.9006029064562829,0.902552380952381
Proteomics,XGBoost,0.937623089983022,0.022954563665908544,0.9201423235354458,0.026956513941207273,0.9217142857142857,0.9207793238040048,0.9217142857142857
T+P,MLP,0.936391624221845,0.014394105424925991,0.8853954413900673,0.020814863476969626,0.8898031746031746,0.8876228609584835,0.8898031746031746
All_Modalities,XGBoost,0.9357894736842105,0.03138184100078164,0.9360827714461653,0.032587195441493605,0.9361396825396826,0.9361513173792988,0.9361396825396826
Proteomics,LogisticRegression,0.9340373514431238,0.029432072733590612,0.9111890136638758,0.009552861386925869,0.9121396825396826,0.9123643656721978,0.9121396825396826
Transcriptomics,RandomForest,0.9336038483305037,0.027268067615017013,0.9286562166021067,0.03305147122964455,0.9297650793650793,0.9287541580452174,0.9297650793650793
G+T,XGBoost,0.9335144312393888,0.03678369975074542,0.9327042858997536,0.0313987996040658,0.9329650793650794,0.932998551944342,0.9329650793650794
G+T,RandomForest,0.9332427843803057,0.03314810826041089,0.931710424272796,0.027210816414167775,0.9329650793650794,0.9320077915640356,0.9329650793650794
All_Modalities,LogisticRegression,0.9311941143180531,0.01521867873142526,0.9012184471777906,0.00369355447769038,0.902552380952381,0.9011603291476309,0.902552380952381
T+P,LogisticRegression,0.9299898132427844,0.017078317204578808,0.8872507742306581,0.011174184786940702,0.8882031746031747,0.8880464952594114,0.8882031746031747
G+T,LogisticRegression,0.9259988681380872,0.019735194426886114,0.9020294361057939,0.0274085751136404,0.9026285714285714,0.9016295227938314,0.9026285714285714
Proteomics,MLP,0.9256162988115448,0.025231981420253218,0.8824547073942991,0.013127264452908386,0.8866158730158731,0.885472327970618,0.8866158730158731
All_Modalities,MLP,0.9244957555178269,0.021590482894518797,0.9032818397435255,0.018650805515502033,0.9073777777777778,0.9070374476361117,0.9073777777777778
G+T,MLP,0.917365025466893,0.0572824064244415,0.8895014667359623,0.03585996028180558,0.894552380952381,0.8920638336064204,0.894552380952381
G+P,MLP,0.9167130730050934,0.021552412268162097,0.8961267081333965,0.023804742228476953,0.8993650793650794,0.8973170580547395,0.8993650793650794
G+P,LogisticRegression,0.9116083757781551,0.02686650113361101,0.8881070251507429,0.021008956499467525,0.8881650793650794,0.8884595860293981,0.8881650793650794
Genomics,XGBoost,0.9049190718732314,0.04108644999127335,0.8913281902592611,0.027206048395795553,0.8946031746031746,0.8919186437450651,0.8946031746031746
Genomics,SVM,0.8907594793435202,0.051612467159269496,0.8366559639841397,0.02443991300408459,0.8578539682539683,0.8711759614138131,0.8578539682539683
Genomics,LogisticRegression,0.8853989813242785,0.053872965496460326,0.8643044990932861,0.030187369998535774,0.8658793650793651,0.8636609246784769,0.8658793650793651
Genomics,RandomForest,0.8809202037351443,0.05551671025115946,0.8663839650232813,0.04381220285200085,0.8754031746031746,0.8723267826275312,0.8754031746031746
Genomics,MLP,0.8768353140916808,0.05957249468789803,0.8639295461399102,0.028370694592912055,0.8674793650793651,0.864473305739393,0.8674793650793651
